S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,5,9,5,7,329,"1,635"
1,Ersama,3,6,3,3,300,890
2,Kujang,1,1,1,1,2,10
3,Raghunathpur,1,2,1,3,27,735
,Total,5,9,5,7,329,"1,635"
