S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,198,"1,221","5,517","2,73,945","12,74,443"
1,Balikuda,30,221,717,"45,692","1,99,283"
2,Biridi,21,80,589,"21,274","1,11,841"
3,Ersama,25,192,554,"44,805","1,80,532"
4,Jagatsinghpur,30,161,995,"36,382","1,77,010"
5,Kujang,28,153,857,"39,949","2,03,865"
6,Naugaon,16,87,485,"23,703","1,13,724"
7,Raghunathpur,19,82,491,"22,990","1,10,600"
8,Tirtol,29,245,829,"39,150","1,77,588"
,Total,198,"1,221","5,517","2,73,945","12,74,443"
