S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,24,27,27,71,"3,291","12,884"
1,Jharsuguda,6,6,6,14,584,"2,324"
2,Kirimira,2,2,2,3,156,572
3,Kolabira,1,1,1,1,44,140
4,Laikera,1,1,1,1,113,375
5,Lakhanpur,14,17,17,52,"2,394","9,473"
,Total,24,27,27,71,"3,291","12,884"
