S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,78,348,"1,556","94,628","3,66,131"
1,Jharsuguda,17,73,375,"19,580","77,828"
2,Kirimira,8,41,161,"11,914","44,493"
3,Kolabira,9,46,184,"13,197","48,009"
4,Laikera,11,44,230,"14,078","51,309"
5,Lakhanpur,33,144,606,"35,859","1,44,492"
,Total,78,348,"1,556","94,628","3,66,131"
