S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,4,4,6,93
1,Banigochha,1,1,1,28
2,Nuagaon,2,2,0,0
3,Sariganda,1,1,5,65
,Total,4,4,6,93
