S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,5,5,20,222
1,Bilamal,1,1,0,0
2,Jhiripani,2,2,10,28
3,Lankagada,1,1,5,1
4,Mundigada,1,1,5,193
,Total,5,5,20,222
