S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,72,671,"20,777","99,876"
1,Alanda,4,40,"1,426","6,841"
2,Buchukupara,6,60,963,"4,994"
3,Budha-am,7,52,751,"3,910"
4,Chhatm,4,19,425,"2,123"
5,Chungimati,2,37,"1,582","7,242"
6,Dhelua,3,34,"1,811","8,425"
7,Garvana,3,25,879,"4,379"
8,Jareikela,4,45,675,"3,366"
9,Jaurumal,2,10,662,"3,202"
10,Jhagarpur,2,20,732,"3,552"
11,Kesramal,2,25,"1,103","5,331"
12,Kukuda,3,29,"1,618","7,657"
13,Kukudamunda,6,21,515,"2,670"
14,Kunmuru,4,37,"1,539","7,531"
15,Kutunia,4,64,"1,626","7,685"
16,Laing,2,21,"1,486","6,747"
17,Malidihi,4,57,"1,274","6,017"
18,Panposh,5,43,519,"2,636"
19,Raikakachhar,3,18,595,"2,764"
20,Sagjore,2,14,596,"2,804"
,Total,72,671,"20,777","99,876"
