S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,219,416,"15,966","71,253"
1,Abarsing,11,24,953,"4,907"
2,Anagha,17,27,567,"2,863"
3,Bastriguda,9,16,717,"3,176"
4,Chellagada,11,23,928,"4,929"
5,Chelligada,10,21,"1,359","5,311"
6,Dabaraguda,11,22,480,"2,425"
7,Mahendragada,18,55,"2,035","9,035"
8,Mangarajpur,14,22,781,"3,449"
9,Parisala,7,9,561,"2,527"
10,Purunapani,25,33,781,"3,725"
11,R Udayagiri,6,19,"1,621","6,278"
12,Ramagiri,2,10,"1,026","3,282"
13,Randiva,7,14,621,"2,822"
14,Sabarpalli,12,32,"1,180","4,801"
15,Sialilati,28,43,"1,069","5,018"
16,Subalada,11,18,622,"2,910"
17,Tabarsingi,20,28,665,"3,795"
,Total,219,416,"15,966","71,253"
