S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,2,2,603,"4,290"
1,Beladal,1,1,5,6
2,Birapratap Pur,1,1,598,"4,284"
,Total,2,2,603,"4,290"
