S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,46,735,730,"2,219","68,417","2,85,528"
1,Harabhanga,22,342,338,"1,053","31,884","1,33,358"
2,Kantamal,24,393,392,"1,166","36,533","1,52,170"
,Total,46,735,730,"2,219","68,417","2,85,528"
