S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,47,326,320,661,"10,210","43,668"
1,Boudh,11,118,117,288,"3,502","15,062"
2,Harabhanga,15,124,120,182,"2,867","12,426"
3,Kantamal,21,84,83,191,"3,841","16,180"
,Total,47,326,320,661,"10,210","43,668"
