S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,4,4,44,319
1,Bishnupur,2,2,22,7
2,Kalyani,1,1,0,0
3,Kasbajaypur,1,1,22,312
,Total,4,4,44,319
