S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,18,17,28,961,"3,580"
1,Badigada,1,1,8,129,542
2,Banamaliput,1,1,1,22,70
3,Dabuguda,4,4,8,263,968
4,Godihanjar,1,1,1,56,179
5,Guneipoda,1,1,1,55,206
6,Jalahanjar,1,1,1,60,193
7,Onkadeli,1,1,1,28,85
8,Petta,2,2,2,43,178
9,Tikarpada,2,2,2,72,232
10,Tusuba,3,2,2,170,673
11,Umbel,1,1,1,63,254
,Total,18,17,28,961,"3,580"
