S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,15,18,18,"2,701","11,347"
1,Bramhagiri,3,3,3,591,673
2,Delang,1,1,1,70,"1,787"
3,Kakatpur,1,2,2,220,0
4,Krushnaprasad,2,3,3,791,"3,032"
5,Nimapara,1,1,1,81,61
6,Pipili,4,5,5,338,"1,504"
7,Puri Sadar,2,2,2,603,"4,290"
8,Satyabadi,1,1,1,7,0
,Total,15,18,18,"2,701","11,347"
