S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,212,"1,069","3,633","2,72,764","11,59,586"
1,Bhuban,18,107,404,"22,738","1,04,992"
2,Gondia,29,167,451,"36,127","1,53,959"
3,Hindol,35,165,630,"49,094","2,01,795"
4,Kamakhyanagar,22,129,404,"27,491","1,17,811"
5,Kankadahad,21,131,539,"25,202","1,12,425"
6,Odapada,28,131,361,"37,221","1,52,834"
7,Parjang,29,90,384,"35,613","1,50,478"
8,Sadar,30,149,460,"39,278","1,65,292"
,Total,212,"1,069","3,633","2,72,764","11,59,586"
