S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,10,10,10,"1,108","4,020"
1,Gondia,1,1,1,0,0
2,Kamakhyanagar,5,5,5,571,"2,758"
3,Kankadahad,3,3,3,537,"1,262"
4,Sadar,1,1,1,0,0
,Total,10,10,10,"1,108","4,020"
