S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,28,131,131,361,"37,221","1,52,834"
1,Odapada,28,131,131,361,"37,221","1,52,834"
,Total,28,131,131,361,"37,221","1,52,834"
