S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,18,18,18,"2,146","9,885"
1,Angul,2,2,2,955,"2,452"
2,Athamallik,4,4,4,119,709
3,Banarpal,1,1,1,0,0
4,Kaniha,5,5,5,521,"4,391"
5,Kishorenagar,2,2,2,201,"1,482"
6,Pallahara,3,3,3,147,851
7,Talcher,1,1,1,203,0
,Total,18,18,18,"2,146","9,885"
