S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,40,416,401,"1,438","37,146","1,64,225"
1,Daringbadi,25,268,256,892,"25,355","1,07,740"
2,Kotagarh,15,148,145,546,"11,791","56,485"
,Total,40,416,401,"1,438","37,146","1,64,225"
