S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,46,73,73,937,"6,352"
1,Baliguda,1,1,1,5,9
2,Chakapad,4,5,5,190,667
3,Daringbadi,8,12,12,126,621
4,G.udayagiri,1,1,1,10,52
5,K.nuangan,4,5,5,12,259
6,Khajuripada,2,3,3,72,242
7,Kotagarh,1,3,3,14,255
8,Phiringia,14,24,24,255,"3,188"
9,Phulbani,6,13,13,228,807
10,Tikabali,1,1,1,5,30
11,Tumudibandha,4,5,5,20,222
,Total,46,73,73,937,"6,352"
