S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,221,217,455,"10,087","42,696"
1,Adenigarh,26,26,60,803,"3,237"
2,BAMANDA,4,4,12,383,"1,544"
3,Bandhapathar,3,3,4,85,369
4,Banibhusanpur,20,20,34,419,"1,762"
5,Biranarsingpur,5,5,11,324,"1,405"
6,Chhataranga,16,16,26,590,"2,490"
7,DHALPUR,11,11,29,824,"3,340"
8,HARABHANGA,9,9,14,380,"1,598"
9,Karanjakata,8,8,21,214,"1,002"
10,Kusanga,4,3,9,471,"1,986"
11,Lunibahal,7,7,14,530,"2,357"
12,MAHALIKPADA,16,16,34,867,"3,575"
13,Mathura,1,1,2,21,107
14,PITAMBARPUR,1,1,2,106,406
15,PURUNAKATAK,7,7,15,437,"1,827"
16,RADHANAGAR,5,4,7,179,871
17,Ramagarh,7,7,21,798,"3,400"
18,Sampoch,6,6,16,435,"1,997"
19,SANKULEI,11,11,24,355,"1,478"
20,SARASARA,4,4,7,392,"1,659"
21,TALAGAON,42,40,78,"1,283","5,472"
22,Tileswar,8,8,15,191,814
,Total,221,217,455,"10,087","42,696"
