S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,36,320,316,"1,051","46,183","1,97,180"
1,Birmaharajpur,15,159,157,509,"24,552","1,03,138"
2,Tarva,21,161,159,542,"21,631","94,042"
,Total,36,320,316,"1,051","46,183","1,97,180"
