S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,12,12,12,"2,102","12,649"
1,Ambabhona,2,2,2,83,341
2,Attabira,1,1,1,1,35
3,Bijepur,6,6,6,"1,383","9,934"
4,Paikamal,1,1,1,238,796
5,Rajbarasambar,1,1,1,163,496
6,Sohela,1,1,1,234,"1,047"
,Total,12,12,12,"2,102","12,649"
