S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,4,4,8,217,888
1,Bhaludungri,2,2,3,153,601
2,Narendra,2,2,5,64,287
,Total,4,4,8,217,888
