S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,12,12,720,"3,255"
1,Chandragiri,2,2,139,732
2,Godibali,1,1,22,92
3,Kashipur,1,1,176,714
4,MANDIBISI,1,1,6,132
5,Manusgaon,1,1,217,16
6,Renga,1,1,50,373
7,Sankarada,1,1,35,277
8,Siripai,2,2,55,85
9,Talajhiri,1,1,17,676
10,Tikiri,1,1,3,158
,Total,12,12,720,"3,255"
