S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,6,6,17,396,"1,639"
1,Adimaha,3,3,6,126,483
2,Jiridikia,2,2,4,204,855
3,Sainpada,1,1,7,66,301
,Total,6,6,17,396,"1,639"
