S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,70,733,"2,077","75,802","3,02,999"
1,Barkote,24,231,633,"32,440","1,13,008"
2,Reamal,26,273,815,"24,451","1,07,690"
3,Tileibani,20,229,629,"18,911","82,301"
,Total,70,733,"2,077","75,802","3,02,999"
