S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,18,22,22,"2,140","3,916"
1,Barkote,8,12,12,"1,879","2,733"
2,Reamal,6,6,6,233,830
3,Tileibani,4,4,4,28,353
,Total,18,22,22,"2,140","3,916"
