S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,70,711,"2,055","73,662","2,99,083"
1,Barkote,24,219,621,"30,561","1,10,275"
2,Reamal,26,267,809,"24,218","1,06,860"
3,Tileibani,20,225,625,"18,883","81,948"
,Total,70,711,"2,055","73,662","2,99,083"
