S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,9,10,10,283,"1,854"
1,Jamankira,3,3,3,149,485
2,Jujumura,1,1,1,5,43
3,Maneswar,1,1,1,123,"1,326"
4,Naktideul,2,2,2,4,0
5,Rairakhol,2,3,3,2,0
,Total,9,10,10,283,"1,854"
