S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,146,142,341,"41,337","1,72,045"
1,Ajodhya,5,5,12,"2,423","12,720"
2,Arabandha,6,6,15,"1,531","6,088"
3,Begunia,11,11,12,"1,316","5,342"
4,Berhampur,7,5,6,"1,109","4,433"
5,Bhaunriabad,4,4,22,"2,380","9,646"
6,Chhatrapur,6,6,14,"1,520","6,269"
7,Dharampur,3,3,4,"1,082","4,327"
8,Dhobsila,8,8,21,"1,937","8,389"
9,Garadihi,24,24,30,"2,509","10,453"
10,Jadida,7,7,13,"1,216","4,656"
11,Jamudiha,2,2,12,"2,625","10,768"
12,Kansa,5,5,7,982,"3,925"
13,Kishore Chandrapur,5,5,34,"3,171","12,788"
14,Kuanrpurlakhraj,8,8,10,"1,787","7,876"
15,Machhua,6,6,6,"1,134","4,581"
16,Mahisapata,3,3,10,"2,060","8,224"
17,Matiali,1,1,11,"1,516","6,185"
18,Naranpur,6,5,21,"1,761","7,059"
19,Narsinghpur,8,8,15,"1,426","5,672"
20,Pithahata,3,3,14,"2,093","9,315"
21,Radhakishorpur,2,2,4,742,"2,870"
22,Sajanagarh,5,5,14,"1,789","7,612"
23,Siadimal,4,4,10,"1,099","4,259"
24,Telipal,2,2,18,"1,380","5,590"
25,Tentulia,5,4,6,749,"2,998"
,Total,146,142,341,"41,337","1,72,045"
