S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,373,"1,910","1,842","7,800","4,50,850","20,18,669"
1,Athagara,34,195,185,372,"33,247","1,58,658"
2,Banki,20,115,102,457,"28,305","1,20,261"
3,Banki Damapara,17,43,41,267,"19,842","88,421"
4,Baramba,38,137,131,313,"38,283","1,64,120"
5,Baranga,16,83,75,230,"20,931","94,993"
6,Cuttack Sadar,23,116,114,535,"30,408","1,38,212"
7,Kantapada,14,84,84,330,"20,361","88,786"
8,Mahanga,37,197,192,"1,447","44,957","1,97,679"
9,Narasinghpur,37,232,225,531,"41,860","1,83,335"
10,Niali,23,127,124,572,"34,448","1,51,038"
11,Nischintakoili,41,215,212,"1,375","43,278","1,86,809"
12,Salipur,35,168,161,835,"45,049","1,93,718"
13,Tangi Choudwar,24,149,148,395,"32,815","1,69,146"
14,Tigiria,14,49,48,141,"17,066","83,493"
,Total,373,"1,910","1,842","7,800","4,50,850","20,18,669"
