S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,212,785,"22,431","1,00,803"
1,Bad Purnapani,12,53,"1,453","6,624"
2,Bhutuda,11,33,841,"3,718"
3,Daleisara,8,34,"1,066","4,919"
4,Darjing,20,66,"1,661","7,924"
5,Fuljhar,11,54,"1,161","6,972"
6,Haldikudar,10,28,801,"3,454"
7,Kaleiposh,13,44,"1,377","6,232"
8,Khuntagaon,11,55,"1,490","6,292"
9,Kuliposh,4,28,925,"3,930"
10,Kundeikela,11,38,807,"3,683"
11,Kurda,21,61,"1,822","7,358"
12,Lahunipara,11,41,"2,040","8,822"
13,Mahulpada,9,29,740,"3,140"
14,Rajamunda,18,58,"1,624","6,497"
15,Sankhaposh,19,66,"1,841","8,616"
16,Sasyakela,7,46,"1,516","6,716"
17,Talbahali,16,51,"1,266","5,906"
,Total,212,785,"22,431","1,00,803"
