S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,66,189,189,857,"48,508","1,84,865"
1,Jharsuguda,13,29,29,137,"5,416","21,199"
2,Kirimira,8,32,32,122,"9,049","34,198"
3,Kolabira,9,31,31,119,"8,017","29,528"
4,Laikera,11,35,35,186,"10,432","38,539"
5,Lakhanpur,25,62,62,293,"15,594","61,401"
,Total,66,189,189,857,"48,508","1,84,865"
