S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,72,209,209,928,"51,799","1,97,749"
1,Jharsuguda,14,33,33,151,"6,000","23,523"
2,Kirimira,8,33,33,125,"9,205","34,770"
3,Kolabira,9,32,32,120,"8,061","29,668"
4,Laikera,11,36,36,187,"10,545","38,914"
5,Lakhanpur,30,75,75,345,"17,988","70,874"
,Total,72,209,209,928,"51,799","1,97,749"
