S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,83,264,"19,052","75,536"
1,Asana,4,23,"1,156","4,904"
2,Bagderi,6,17,"1,330","4,947"
3,Banuaguda,6,27,"1,812","7,180"
4,Bhusangaguda,5,8,"1,413","5,378"
5,Dangarpounsi,4,12,"1,175","4,613"
6,Digapur,6,11,"1,259","5,132"
7,Ghumar,4,12,"1,322","6,037"
8,Gundala,1,21,874,"3,396"
9,Kermiti,12,23,"1,428","5,550"
10,Kundra,5,28,"2,033","7,832"
11,Lima,2,16,"1,081","4,284"
12,Masigam,8,18,"1,322","5,097"
13,Pakhanaguda,5,9,710,"2,645"
14,Phulabhata,7,7,417,"1,555"
15,Phupugam,3,18,867,"3,562"
16,Raniguda,5,14,853,"3,424"
,Total,83,264,"19,052","75,536"
