S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,117,116,251,"15,843","59,464"
1,Akhusingi,5,5,21,"1,819","6,878"
2,DERIGAM,11,11,21,961,"3,876"
3,Gudiabandha,5,5,13,"1,215","4,240"
4,Guluguda,15,15,25,779,"3,209"
5,Indupur,8,8,18,"1,284","4,841"
6,Jatili,9,9,15,852,"3,030"
7,Khampapodar,6,6,16,"1,054","4,224"
8,Khilapodar,2,2,2,501,"1,766"
9,Liktipadar,12,11,15,716,"2,872"
10,Naira,9,9,24,780,"3,198"
11,Nuaguda,21,21,42,979,"4,116"
12,Padmapur,3,3,10,"2,905","9,287"
13,Tembaguda,11,11,29,"1,998","7,927"
,Total,117,116,251,"15,843","59,464"
