S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,106,105,457,"39,573","1,64,460"
1,Attigam,3,3,4,798,"3,613"
2,Badaamada,4,4,23,"2,264","9,125"
3,Badagumuda,2,2,6,819,"2,850"
4,Balenga,5,5,21,"2,485","8,174"
5,Bamuni,6,6,19,"1,394","4,575"
6,Bankuli,3,3,14,"1,199","4,844"
7,Binjili,8,8,24,"2,248","9,515"
8,Buti Majhi Semela,3,3,14,"2,105","8,889"
9,Chirma,4,4,11,"1,339","5,941"
10,Ekori,2,2,10,684,"3,019"
11,Karchamal,2,2,13,"1,394","6,776"
12,Kodinga,5,4,14,822,"3,342"
13,Kokodi Semla,7,7,25,"1,984","7,418"
14,Kosagumuda,4,4,13,"1,525","6,470"
15,Majhidhanua,5,5,24,"1,160","5,146"
16,Mettigam Keragam,3,3,25,"1,264","3,855"
17,Modeigam,3,3,14,"1,930","7,884"
18,Mottigam,2,2,35,"1,872","8,729"
19,Pharsaguda,3,3,19,"1,092","6,575"
20,Ponduguda,6,6,16,"1,070","4,300"
21,Rajoda,4,4,16,"2,087","7,797"
22,Sanambada,5,5,20,"1,265","4,812"
23,Santoshpur,6,6,41,"2,844","13,048"
24,Taragam,1,1,3,538,"2,153"
25,Temera,4,4,12,"1,290","5,775"
26,Ukiapalli,6,6,21,"2,101","9,835"
,Total,106,105,457,"39,573","1,64,460"
