S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,27,307,304,831,"30,769","1,33,434"
1,Chandrapur,8,184,182,370,"9,943","46,080"
2,Gunupur,19,123,122,461,"20,826","87,354"
,Total,27,307,304,831,"30,769","1,33,434"
