S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,185,372,"33,247","1,58,658"
1,Anantapur,4,8,912,"4,682"
2,Badabhuin,5,18,"1,009","4,780"
3,Bentapada,4,6,991,"4,131"
4,BHOGARA,4,6,581,"2,795"
5,Chhagaon,7,7,924,"4,406"
6,Dalabhaga,3,5,495,"2,269"
7,Dhaipur,4,6,496,"2,483"
8,Dhurusia,7,10,874,"4,660"
9,Dorada,7,10,"1,036","4,777"
10,Ghantikhala,5,9,809,"3,851"
11,Gobara,5,15,997,"5,220"
12,Gurudijhatia,6,18,"1,568","6,889"
13,Ichhapur,5,10,"1,070","5,363"
14,Jenapada,5,8,971,"5,091"
15,Joranda,6,10,637,"3,441"
16,Kandarai,6,20,"1,191","4,726"
17,Kandarpur,3,7,825,"3,636"
18,Katakiasahi,5,12,877,"5,310"
19,Khuntakata,6,18,"1,650","7,569"
20,Khuntuni,5,17,"1,542","6,856"
21,Kuleilo,8,10,815,"4,091"
22,Kumarpur,5,13,"1,294","6,448"
23,Kuspangi,5,7,737,"3,562"
24,Mahakalabasta,7,13,"1,098","5,364"
25,Mancheswar,11,15,"1,390","6,380"
26,Megha,4,6,924,"4,165"
27,Oranda,6,13,"1,090","5,291"
28,Radhagovindapur,7,9,720,"3,130"
29,Radhakishorepur,6,12,"1,237","5,914"
30,Radhakrushnapur,4,19,894,"4,776"
31,Rajanagar,5,8,576,"2,666"
32,Samasarpur,6,11,"1,259","5,866"
33,Sathilo,4,7,"1,079","4,898"
34,Tarding,5,9,679,"3,172"
,Total,185,372,"33,247","1,58,658"
