S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,111,965,"2,603","1,27,510","5,75,546"
1,Kalimela,23,131,432,"28,750","1,31,974"
2,Khairput,11,131,361,"13,671","58,065"
3,KORUKONDA,12,119,320,"16,020","75,828"
4,KUDUMULUGUMMA,18,266,463,"14,461","62,484"
5,Malkangiri,19,133,347,"23,073","1,07,115"
6,Mathili,20,140,522,"21,941","97,050"
7,PODIA,8,45,158,"9,594","43,030"
,Total,111,965,"2,603","1,27,510","5,75,546"
