S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,5,4,8,694,"3,133"
1,Gadadharapur,1,1,2,396,"1,782"
2,Hatamala,1,1,1,49,220
3,Nuapatna,2,1,1,22,112
4,Samapada,1,1,4,227,"1,019"
,Total,5,4,8,694,"3,133"
