S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,4,4,330,"2,977"
1,KONABIRA,1,1,85,642
2,PENDRAWAN,1,1,32,631
3,RAJANA,1,1,2,"1,150"
4,Sialati,1,1,211,554
,Total,4,4,330,"2,977"
