S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,4,4,342,963
1,Berhampur,2,2,194,0
2,Naranpur,1,1,26,963
3,Tentulia,1,1,122,0
,Total,4,4,342,963
