S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,18,18,20,"2,466","10,495"
1,Batsana,1,1,1,120,398
2,Bhansuli,2,2,2,200,753
3,Bobeya,2,2,2,65,296
4,Chandili,2,2,2,262,"1,130"
5,Chatraulla,1,1,1,187,833
6,Dhamanahandi,2,2,3,756,"3,457"
7,Ghumar,1,1,1,90,376
8,Guali,1,1,1,82,309
9,Kusumi,4,4,5,554,"2,452"
10,Mutrahandi,1,1,1,60,121
11,Sutipadar,1,1,1,90,370
,Total,18,18,20,"2,466","10,495"
