S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,7,7,500,"1,188"
1,Balijhari,1,1,280,0
2,Basantpur,1,1,0,0
3,Bokada,1,1,0,0
4,Ekadal,1,1,0,0
5,Kanpur,2,2,196,"1,188"
6,Kokalaba,1,1,24,0
,Total,7,7,500,"1,188"
