S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,44,56,56,"1,860","9,726"
1,Gosani,1,2,2,0,0
2,Gumma,6,7,7,348,"1,637"
3,Kashinagar,2,2,2,162,"1,310"
4,Mohana,19,27,27,669,"3,521"
5,Nuagada,2,2,2,6,423
6,R. Udayagiri,3,3,3,304,266
7,Rayagada,11,13,13,371,"2,569"
,Total,44,56,56,"1,860","9,726"
