S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,11,11,11,"3,227","12,028"
1,Binka,1,1,1,175,741
2,Birmaharajpur,2,2,2,"1,575","4,393"
3,Dunguripali,1,1,1,631,"4,899"
4,Sonepur,2,2,2,693,"1,641"
5,Tarva,2,2,2,96,296
6,Ulunda,3,3,3,57,58
,Total,11,11,11,"3,227","12,028"
