S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,4,4,550,"1,363"
1,Balimed,1,1,232,64
2,Jagannathprasad,1,1,0,0
3,Karanjadia,1,1,178,553
4,Laxmidaspur,1,1,140,746
,Total,4,4,550,"1,363"
