S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,5,5,166,"2,065"
1,BALISAHIPATANA,1,1,104,"1,088"
2,Bhitargarh,1,1,8,18
3,C.b Mula,1,1,10,0
4,Kandira,1,1,38,936
5,Koilpur,1,1,6,23
,Total,5,5,166,"2,065"
