S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,24,21,35,"1,413","6,399"
1,Bodapalas,2,1,1,22,211
2,Gobardhan,1,1,1,5,33
3,Handibhanga,3,3,3,26,93
4,Kathabari,1,1,1,8,38
5,Kaunrikala,3,2,2,12,67
6,Mandua,3,3,11,874,"3,922"
7,Naranpur,1,1,2,94,363
8,Nelung,1,1,1,6,35
9,Nuagaon,2,2,2,55,253
10,Padmapur,1,1,1,5,26
11,Palaspanga,1,1,1,6,35
12,Parjanpur,4,3,4,86,352
13,Raisuan,1,1,5,214,971
,Total,24,21,35,"1,413","6,399"
