S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,5,5,571,"2,758"
1,Bhairpur,1,1,79,187
2,Budhibil,1,1,461,"1,602"
3,Kadua,1,1,0,0
4,Kanapura,1,1,24,346
5,Kusumjodi,1,1,7,623
,Total,5,5,571,"2,758"
