S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,38,35,58,"2,645","10,928"
1,Analabereni,1,1,1,63,219
2,Badasuanlo,3,3,4,331,"1,527"
3,Baisinga,2,2,3,192,802
4,Baligorad,1,1,1,16,81
5,Bankuala,1,1,1,40,138
6,Baruan,1,1,2,50,209
7,Baunspal,1,1,1,43,191
8,Bhairpur,2,1,1,45,200
9,Jagannathpur,6,6,13,518,"2,163"
10,Kadua,3,2,2,27,136
11,Kanapura,5,4,6,103,405
12,Kotagara,3,3,8,526,"1,952"
13,R.n.pur,2,2,4,200,783
14,Saruali,1,1,1,16,66
15,Sogar,6,6,10,475,"2,056"
,Total,38,35,58,"2,645","10,928"
