S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,95,"1,061","1,022","2,594","78,006","3,56,140"
1,Gumma,20,208,201,563,"18,416","83,163"
2,Mohana,39,454,427,"1,202","28,866","1,41,237"
3,Nuagada,19,177,175,413,"14,758","60,487"
4,R. Udayagiri,17,222,219,416,"15,966","71,253"
,Total,95,"1,061","1,022","2,594","78,006","3,56,140"
