S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,312,1993,4390,405449,1604243
1,Bhawanipatna,36,256,365,43349,195734
2,Dharmagarh,24,68,287,31654,121889
3,Golamunda,28,120,396,35419,134888

