S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,25,24,37,"1,111","4,941"
1,Balam,3,3,5,215,901
2,Batagaon,5,5,10,545,"2,483"
3,Daincha,1,1,1,38,168
4,Ghosarmal,3,3,4,83,344
5,Girish Ch. Pur,1,1,2,27,135
6,Gogua,3,2,2,8,42
7,Jamjori,2,2,2,20,105
8,Kisinda,1,1,3,46,219
9,Naktideul,2,2,2,49,182
10,Panimura,1,1,1,5,25
11,Sahebi,1,1,1,24,90
12,SAHLEBHATA,2,2,4,51,247
,Total,25,24,37,"1,111","4,941"
