S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,102,102,302,"16,078","69,522"
1,Badjode,10,10,22,"2,343","9,645"
2,Bankisol,6,6,22,"1,034","4,178"
3,Betna,7,7,22,"1,533","6,956"
4,Bhagabat Ch.pur,5,5,33,"1,008","4,103"
5,Budhikhamari,9,9,28,"1,695","6,793"
6,Chandanpur,15,15,41,"1,610","7,169"
7,Hati Kote,4,4,21,876,"3,900"
8,Khadiasol,7,7,17,882,"3,952"
9,Laxmiposi,7,7,15,"1,188","5,354"
10,Rajabosa,16,16,48,"2,030","9,218"
11,Sankhabhanga,16,16,33,"1,879","8,254"
,Total,102,102,302,"16,078","69,522"
