S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,69,"1,120","3,650","1,06,399","4,46,365"
1,Boudh,23,385,"1,426","37,973","1,60,826"
2,Harabhanga,22,342,"1,057","31,893","1,33,369"
3,KANTAMAL,24,393,"1,167","36,533","1,52,170"
,Total,69,"1,120","3,650","1,06,399","4,46,365"
