S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,66,272,266,603,"14,978","63,395"
1,Boudh,23,88,87,223,"5,136","22,012"
2,Harabhanga,22,131,127,273,"7,220","30,270"
3,Kantamal,21,53,52,107,"2,622","11,113"
,Total,66,272,266,603,"14,978","63,395"
