S.No.,Blocks,Panchayats,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,68,544,538,"1,264","25,188","1,07,063"
1,Boudh,23,194,193,511,"8,638","37,074"
2,Harabhanga,22,221,217,455,"10,087","42,696"
3,Kantamal,23,129,128,298,"6,463","27,293"
,Total,68,544,538,"1,264","25,188","1,07,063"
