S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,69,"1,114","3,644","1,06,371","4,46,354"
1,Boudh,23,384,"1,425","37,954","1,60,826"
2,Harabhanga,22,338,"1,053","31,884","1,33,358"
3,Kantamal,24,392,"1,166","36,533","1,52,170"
,Total,69,"1,114","3,644","1,06,371","4,46,354"
