S.No.,Blocks,Panchayats,Villages,Habitations,HouseHolds,Population
,Total,5,6,6,28,11
1,Boudh,1,1,1,19,0
2,Harabhanga,3,4,4,9,11
3,Kantamal,1,1,1,0,0
,Total,5,6,6,28,11
