S.No.,Panchayat,Total Villages,Villages,Habitations,HouseHolds,Population
,Total,3,3,13,406,"1,445"
1,Karla,1,1,3,132,519
2,Kundukela,2,2,10,274,926
,Total,3,3,13,406,"1,445"
