S.No.,Panchayat,Villages,Habitations,HouseHolds,Population
,Total,5,5,363,"1,611"
1,Murnia,1,1,95,528
2,Paktia,1,1,13,118
3,Sirsa,3,3,255,965
,Total,5,5,363,"1,611"
